# data from ifeffit
#------------------------
#   r         chir_mag    chir_mag    chir_mag
  5.1848551       0.16740396E-01   0.10116933E-01   0.67375853E-02
  5.2155347       0.32265509E-01   0.38936516E-01   0.71991962E-02
  5.2462143       0.41924920E-01   0.60195648E-01   0.18628522E-01
  5.2768939       0.44591110E-01   0.71049636E-01   0.26751560E-01
  5.3075735       0.40279876E-01   0.70409870E-01   0.30350266E-01
  5.3382531       0.30078782E-01   0.59013950E-01   0.29072498E-01
  5.3689328       0.15914337E-01   0.39211456E-01   0.23353714E-01
  5.3996124       0.20697068E-03   0.14513887E-01   0.14312737E-01
  5.4302920       0.14549517E-01   0.11020020E-01   0.37045086E-02
  5.4609716       0.26144483E-01   0.33410479E-01   0.75871862E-02
  5.4916512       0.33006428E-01   0.49407048E-01   0.16652088E-01
  5.5223308       0.34388619E-01   0.56917264E-01   0.22743836E-01
  5.5530105       0.30435184E-01   0.55274631E-01   0.25007297E-01
  5.5836901       0.22101558E-01   0.45259138E-01   0.23268043E-01
  5.6143697       0.10954633E-01   0.28894406E-01   0.17992558E-01
  5.6450493       0.11345002E-02   0.90664710E-02   0.10188819E-01
  5.6757289       0.12192077E-01   0.10993298E-01   0.15225262E-02
  5.7064085       0.20648661E-01   0.28166198E-01   0.77116973E-02
  5.7370881       0.25373652E-01   0.40001062E-01   0.14801479E-01
  5.7677678       0.25904501E-01   0.44998490E-01   0.19252480E-01
  5.7984474       0.22456821E-01   0.42803542E-01   0.20477896E-01
  5.8291270       0.15843598E-01   0.34190797E-01   0.18441387E-01
  5.8598066       0.73089742E-02   0.20876900E-01   0.13624129E-01
  5.8904862       0.17496036E-02   0.52042392E-02   0.69290334E-02
  5.9211658       0.97998597E-02   0.10305767E-01   0.88197720E-03
  5.9518455       0.15773930E-01   0.23237906E-01   0.75792920E-02
  5.9825251       0.18894640E-01   0.31791400E-01   0.13016259E-01
  6.0132047       0.18905606E-01   0.34930863E-01   0.16143708E-01
  6.0438843       0.16050593E-01   0.32523840E-01   0.16579896E-01
  6.0745639       0.10996811E-01   0.25302267E-01   0.14391688E-01
  6.1052435       0.47032180E-02   0.14693833E-01   0.10058042E-01
  6.1359232       0.18544025E-02   0.25715829E-02   0.43779882E-02
  6.1666028       0.74774774E-02   0.91670580E-02   0.17633872E-02
  6.1972824       0.11515395E-01   0.18665686E-01   0.72169259E-02
  6.2279620       0.13460894E-01   0.24654466E-01   0.11275803E-01
  6.2586416       0.13201103E-01   0.26455975E-01   0.13346164E-01
  6.2893212       0.10976025E-01   0.24088614E-01   0.13204302E-01
  6.3200008       0.73098728E-02   0.18214191E-01   0.10989846E-01
  6.3506805       0.29151703E-02   0.99906272E-02   0.71638652E-02
  6.3813601       0.16140200E-02   0.91048328E-03   0.24212117E-02
  6.4120397       0.53062242E-02   0.77453741E-02   0.24577866E-02
  6.4427193       0.78629558E-02   0.14488324E-01   0.66625635E-02
  6.4733989       0.89763891E-02   0.18501371E-01   0.95828274E-02
  6.5040785       0.86274157E-02   0.19377426E-01   0.10824394E-01
  6.5347582       0.70299722E-02   0.17228709E-01   0.10283981E-01
  6.5654378       0.45730689E-02   0.12628203E-01   0.81477294E-02
  6.5961174       0.17611799E-02   0.64852930E-02   0.48454859E-02
  6.6267970       0.11652311E-02   0.33768311E-03   0.96874224E-03
  6.6574766       0.33468021E-02   0.61774887E-02   0.28332637E-02
  6.6881562       0.47990022E-02   0.10738687E-01   0.59598056E-02
  6.7188359       0.53515497E-02   0.13261169E-01   0.79531004E-02
  6.7495155       0.50400983E-02   0.13535884E-01   0.85629616E-02
  6.7801951       0.40380954E-02   0.11724272E-01   0.77751923E-02
  6.8108747       0.26105302E-02   0.82995906E-02   0.58002510E-02
  6.8415543       0.10830439E-02   0.39461023E-02   0.30266177E-02
  6.8722339       0.63547357E-03   0.64416404E-03   0.11480669E-03
  6.9029135       0.16420054E-02   0.45744738E-02   0.29328636E-02
  6.9335932       0.22977410E-02   0.74407842E-02   0.51543039E-02
  6.9642728       0.25020569E-02   0.88707161E-02   0.64086288E-02
  6.9949524       0.23142950E-02   0.87940957E-02   0.65565214E-02
  7.0256320       0.18579919E-02   0.73877121E-02   0.56463720E-02
  7.0563116       0.12825145E-02   0.50209554E-02   0.38947918E-02
  7.0869912       0.73081521E-03   0.21782576E-02   0.16433795E-02
  7.1176709       0.33013191E-03   0.68800683E-03   0.74782416E-03
  7.1483505       0.23939998E-03   0.30251400E-02   0.28129162E-02
  7.1790301       0.33306254E-03   0.46080339E-02   0.42910920E-02
  7.2097097       0.41292139E-03   0.52686694E-02   0.49729820E-02
  7.2403893       0.47850908E-03   0.50280263E-02   0.48034833E-02
  7.2710689       0.52249568E-03   0.40536351E-02   0.38712829E-02
  7.3017486       0.53556371E-03   0.26125706E-02   0.23851291E-02
  7.3324282       0.56580925E-03   0.10160263E-02   0.64757727E-03
  7.3631078       0.70207742E-03   0.49071591E-03   0.11300278E-02
  7.3937874       0.93823001E-03   0.15982938E-02   0.25291330E-02
  7.4244670       0.11709978E-02   0.22425756E-02   0.34125006E-02
  7.4551466       0.12910412E-02   0.23924463E-02   0.36680595E-02
  7.4858262       0.12192185E-02   0.21223730E-02   0.33019861E-02
  7.5165059       0.92531774E-03   0.15739676E-02   0.24249299E-02
  7.5471855       0.47627258E-03   0.91815584E-03   0.12288064E-02
  7.5778651       0.50579005E-03   0.31967161E-03   0.22473916E-03
  7.6085447       0.11563560E-02   0.14967347E-03   0.12816379E-02
  7.6392243       0.17896689E-02   0.34455056E-03   0.21336129E-02
  7.6699039       0.22220217E-02   0.33850289E-03   0.25565519E-02
  7.7005836       0.23429414E-02   0.19612275E-03   0.25119332E-02
  7.7312632       0.20972780E-02   0.12156793E-03   0.20474516E-02
  7.7619428       0.14958940E-02   0.22967521E-03   0.12813952E-02
  7.7926224       0.63205805E-03   0.23752319E-03   0.39486415E-03
  7.8233020       0.52601316E-03   0.77527056E-04   0.56321760E-03
  7.8539816       0.15240751E-02   0.26912433E-03   0.12564165E-02
  7.8846612       0.23722342E-02   0.70299310E-03   0.16735623E-02
  7.9153409       0.28907764E-02   0.11389343E-02   0.17558632E-02
  7.9460205       0.29752648E-02   0.14597092E-02   0.15176331E-02
  7.9767001       0.25927276E-02   0.15615503E-02   0.10313038E-02
  8.0073797       0.17883396E-02   0.13784955E-02   0.41409024E-03
  8.0380593       0.68544951E-03   0.90017739E-03   0.26387841E-03
  8.0687389       0.59943071E-03   0.17900161E-03   0.77595336E-03
  8.0994186       0.17746496E-02   0.67907628E-03   0.11042848E-02
  8.1300982       0.27068809E-02   0.15250575E-02   0.11905989E-02
  8.1607778       0.32326453E-02   0.22020951E-02   0.10374331E-02
  8.1914574       0.32602961E-02   0.25706485E-02   0.69357930E-03
  8.2221370       0.27784786E-02   0.25377862E-02   0.24127888E-03
  8.2528166       0.18583735E-02   0.20775250E-02   0.22323697E-03
  8.2834963       0.64380098E-03   0.12396047E-02   0.60451849E-03
  8.3141759       0.68398210E-03   0.15366182E-03   0.83248728E-03
  8.3448555       0.19005685E-02   0.10437144E-02   0.87018108E-03
  8.3755351       0.28229616E-02   0.21171545E-02   0.72100659E-03
  8.4062147       0.33048472E-02   0.28968807E-02   0.42737611E-03
  8.4368943       0.32716942E-02   0.32399047E-02   0.99058948E-04
  8.4675739       0.27313970E-02   0.30727744E-02   0.34537044E-03
  8.4982536       0.17724003E-02   0.24060304E-02   0.63372292E-03
  8.5289332       0.54889275E-03   0.13351371E-02   0.78634077E-03
  8.5596128       0.74522995E-03   0.96323017E-04   0.77087281E-03
  8.5902924       0.19060536E-02   0.13289953E-02   0.59367849E-03
  8.6209720       0.27547274E-02   0.24860978E-02   0.30301789E-03
  8.6516516       0.31639994E-02   0.32675582E-02   0.17033798E-03
  8.6823313       0.30781326E-02   0.35410541E-02   0.47829817E-03
  8.7130109       0.25204368E-02   0.32567651E-02   0.74274803E-03
  8.7436905       0.15881584E-02   0.24558653E-02   0.87081775E-03
  8.7743701       0.43876794E-03   0.12652544E-02   0.83122152E-03
  8.8050497       0.76329531E-03   0.18018228E-03   0.62936629E-03
  8.8357293       0.18033500E-02   0.15153346E-02   0.31021603E-03
  8.8664090       0.25391187E-02   0.26484755E-02   0.16929916E-03
  8.8970886       0.28643769E-02   0.33631493E-02   0.51896971E-03
  8.9277682       0.27416403E-02   0.35467115E-02   0.81869483E-03
  8.9584478       0.22049324E-02   0.31735412E-02   0.97924748E-03
  8.9891274       0.13526265E-02   0.23080664E-02   0.96490175E-03
  9.0198070       0.34254125E-03   0.10951979E-02   0.77463188E-03
  9.0504866       0.73023971E-03   0.31308593E-03   0.44212907E-03
  9.0811663       0.16102567E-02   0.15949748E-02   0.88000397E-04
  9.1118459       0.22138282E-02   0.26285291E-02   0.43126449E-03
  9.1425255       0.24564447E-02   0.32350762E-02   0.79346201E-03
  9.1732051       0.23166854E-02   0.33263436E-02   0.10251062E-02
  9.2038847       0.18342748E-02   0.28987987E-02   0.10809377E-02
  9.2345643       0.11021371E-02   0.20320621E-02   0.94872905E-03
  9.2652440       0.27716465E-03   0.87708099E-03   0.65010919E-03
  9.2959236       0.64685314E-03   0.42080766E-03   0.23811035E-03
  9.3266032       0.13480451E-02   0.15700055E-02   0.22960668E-03
  9.3572828       0.18155949E-02   0.24560068E-02   0.64984078E-03
  9.3879624       0.19856847E-02   0.29350998E-02   0.96347039E-03
  9.4186420       0.18496786E-02   0.29446227E-02   0.11139524E-02
  9.4493217       0.14481206E-02   0.24991885E-02   0.10750287E-02
  9.4800013       0.86307235E-03   0.16855539E-02   0.85345592E-03
  9.5106809       0.24263804E-03   0.65062846E-03   0.48752299E-03
  9.5413605       0.52022592E-03   0.48130584E-03   0.40608616E-04
  9.5720401       0.10396180E-02   0.14503652E-02   0.41221621E-03
  9.6027197       0.13787757E-02   0.21640439E-02   0.79252218E-03
  9.6333993       0.14917951E-02   0.25134131E-02   0.10370180E-02
  9.6640790       0.13789159E-02   0.24600430E-02   0.11055714E-02
  9.6947586       0.10770202E-02   0.20316793E-02   0.98844083E-03
  9.7254382       0.65276255E-03   0.13147278E-02   0.70758735E-03
  9.7561178       0.22587862E-03   0.44419732E-03   0.31280729E-03
  9.7867974       0.36221156E-03   0.48676568E-03   0.13296220E-03
  9.8174770       0.70789756E-03   0.12518287E-02   0.54418534E-03
  9.8481567       0.93430484E-03   0.17871432E-02   0.86000202E-03
  9.8788363       0.10084834E-02   0.20169479E-02   0.10275645E-02
  9.9095159       0.93521970E-03   0.19238327E-02   0.10216014E-02
  9.9401955       0.74359590E-03   0.15432513E-02   0.84674051E-03
  9.9708751       0.48039059E-03   0.95476965E-03   0.53632004E-03
